Room,Poker Games,Tables,Waiting,
The Lodge Poker Club,1/2 NLH,2,7,
The Lodge Poker Club,1/2 NLH w/BP,1,8,
The Lodge Poker Club,1/3 NLH,1,3,
The Lodge Poker Club,2/5 NLH,0,4,
The Lodge Poker Club,5/10 NLH (Fri 3 PM),0,0,
The Lodge Poker Club,1/2/5 PLO,1,1,
The Lodge Poker Club,1/1 PLO w/ $5 BP,0,1,
The Lodge Poker Club,10/25 PLO (Tue @ 2PM),0,0,
The Lodge Poker Club,$5 PLO Bomb Pots,1,1,
The Lodge Poker Club,1/2 Crazy Pineapple,0,1,
The Lodge Poker Club,1/2/5 Big-O,0,1,
The Lodge Poker Club,Lodge Live Stream,0,0,
